ISO3,item_name,band_name,data_mean,data_mean_sem,unit,pixel_count,physical_area_km2
AFG,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
GBR,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
ALB,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
DZA,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
USA,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
ATA,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
ATG,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
ARG,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
AND,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
AGO,COCO,agri_potential_carbon,7631.4833691733165,229.148040858485,mean tonnes carbon per km2,1182.0,20.214999968558548
ARM,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
NLD,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
AUS,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
AUT,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
AZE,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
BHS,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
BRB,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
BLR,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
BEL,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
BLZ,COCO,agri_potential_carbon,9136.630761250368,560.3839823653003,mean tonnes carbon per km2,50.0,4.050999975204468
BTN,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
BOL,COCO,agri_potential_carbon,1802.7515019297794,272.7284828961578,mean tonnes carbon per km2,890.0,100.15000001505015
BIH,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
BWA,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
NOR,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
COL,COCO,agri_potential_carbon,9363.722147429013,303.71342493921793,mean tonnes carbon per km2,3833.0,1457.2529972815514
COM,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
BRA,COCO,agri_potential_carbon,6809.86611636358,138.37490359405942,mean tonnes carbon per km2,9407.0,5699.8690038090945
FRA,COCO,agri_potential_carbon,,,mean tonnes carbon per km2,,
COD,COCO,agri_potential_carbon,12956.88720332315,128.11223875894675,mean tonnes carbon per km2,3575.0,496.5959995563328
COG,COCO,agri_potential_carbon,12740.848264034894,309.51870035384604,mean tonnes carbon per km2,355.0,260.03899929575624
